Component Name,Part Number,Description,Material,Quantity
EC11 Rotary Encoder Dode Switch-15mm v1,Ðý×ª±àÂëÆ÷EC11E-05SW,STEP AP214,Steel,4
Right Paddle - Quantity 1 v1,Palette_PLUS,STEP AP203,Steel,2
Right Fixed Part - Quantity 1 v1,shifter-fixedpart right,STEP AP203,Steel,1
Paddle Support - Quantity 2 v1,Pièce-palette left,STEP AP203,Steel,2
Left Fixed Part - Quantity 1 v1,Assemblage1-left-fixedpart,STEP AP203,,1
LEFT shifter-fixedpart-nouvelle 02.step,LEFT shifter-fixedpart-nouvelle 02.step,,,1
LEFT shifter-fixedpart-nouvelle 03.step,LEFT shifter-fixedpart-nouvelle 03.step,,,1
LEFT shifter-fixedpart-nouvelle 01.step,LEFT shifter-fixedpart-nouvelle 01.step,,,1
Component9,Component9,,Steel,4
12mm x 12mm Tactile switch Button v2,12mm x 12mm Tactile switch,,Steel,1
External Case,External Case,,Steel,1
Steel Plate,Steel Plate,,Steel,1
Push Button,Push Button,,Steel,1
Component4,Component4,,Steel,4
lowpoly evans laptop v2,lowpoly evans laptop,,Steel,1
2x4 v1 (7),2x4 v1 (7),,Steel,2
Component9,Component9,,Steel,2
Component10,Component10,,,1
Component12,Component12,,,1
Component13,Component13,,,1
Component12(Mirror),Component12(Mirror),,,1
Component17,Component17,,,2
2x4 v1 (8),2x4 v1 (8),,Steel,1
Component21,Component21,,Steel,1
Stepper motor NEMA 23HS7430 v1 v1,Stepper motor NEMA 23HS7430,,solidworks materials|Легированная сталь,1
Stepper motor NEMA 23HS7430 v1 v1 (1),Stepper motor NEMA 23HS7430,,solidworks materials|Легированная сталь,1
Component22,Component22,,Steel,1
2x4,2x4,,Steel,1
AS5600_magnetic_encoder v1,AS5600_magnetic_encoder,,Steel,1
Component26,Component26,,Steel,1
Jounral,Jounral,,Steel,2
Component28,Component28,,Steel,2
Assembly v2,Product1,CATIA V5 STEP Exchange,,1
2,2,Chair Leg,,1
4,4,Roller,,5
Part1.2,Part1.2,,,5
Part2.3,Part2.3,,,5
Part 3,Part 3,,,5
3,3,Bottom Plate,Steel,1
5,5,Lever,,1
9,9,Angle Adjuster Right,Steel,1
10,10,Angle Adjuster Left,Steel,1
11,11,Seat,Steel,1
Part1.2.3,Part1.2.3,,Steel,1
2x4 v1 (9),2x4 v1 (9),,Steel,2
2x4 v1 (10),2x4 v1 (10),,Steel,2
2x4 v1 (11),2x4 v1 (11),,Steel,2
2x4 v1 (12),2x4 v1 (12),,Steel,2
